Date/Time,Year,Month,Day,Time,Temp (°C)
01/11/2018 0:00,2018,11,1,0:00,4.2
01/11/2018 1:00,2018,11,1,1:00,4.5
01/11/2018 2:00,2018,11,1,2:00,4.6
01/11/2018 3:00,2018,11,1,3:00,4.5
01/11/2018 4:00,2018,11,1,4:00,4.6
01/11/2018 5:00,2018,11,1,5:00,4.5
01/11/2018 6:00,2018,11,1,6:00,4.7
01/11/2018 7:00,2018,11,1,7:00,5.1
01/11/2018 8:00,2018,11,1,8:00,5.1
01/11/2018 9:00,2018,11,1,9:00,6.1
01/11/2018 10:00,2018,11,1,10:00,6.8
01/11/2018 11:00,2018,11,1,11:00,7.3
01/11/2018 12:00,2018,11,1,12:00,7.3
01/11/2018 13:00,2018,11,1,13:00,7.2
01/11/2018 14:00,2018,11,1,14:00,7.3
01/11/2018 15:00,2018,11,1,15:00,7.1
01/11/2018 16:00,2018,11,1,16:00,7
01/11/2018 17:00,2018,11,1,17:00,6.6
01/11/2018 18:00,2018,11,1,18:00,6.5
01/11/2018 19:00,2018,11,1,19:00,6.2
01/11/2018 20:00,2018,11,1,20:00,6
01/11/2018 21:00,2018,11,1,21:00,5.9
01/11/2018 22:00,2018,11,1,22:00,5.3
01/11/2018 23:00,2018,11,1,23:00,4.6
02/11/2018 0:00,2018,11,2,0:00,4.4
02/11/2018 1:00,2018,11,2,1:00,4.2
02/11/2018 2:00,2018,11,2,2:00,4
02/11/2018 3:00,2018,11,2,3:00,4.1
02/11/2018 4:00,2018,11,2,4:00,4.3
02/11/2018 5:00,2018,11,2,5:00,4.2
02/11/2018 6:00,2018,11,2,6:00,3.6
02/11/2018 7:00,2018,11,2,7:00,3.2
02/11/2018 8:00,2018,11,2,8:00,3.3
02/11/2018 9:00,2018,11,2,9:00,3.8
02/11/2018 10:00,2018,11,2,10:00,4.1
02/11/2018 11:00,2018,11,2,11:00,4.5
02/11/2018 12:00,2018,11,2,12:00,4.7
02/11/2018 13:00,2018,11,2,13:00,4.7
02/11/2018 14:00,2018,11,2,14:00,5
02/11/2018 15:00,2018,11,2,15:00,5
02/11/2018 16:00,2018,11,2,16:00,4.8
02/11/2018 17:00,2018,11,2,17:00,4.8
02/11/2018 18:00,2018,11,2,18:00,4.7
02/11/2018 19:00,2018,11,2,19:00,4.3
02/11/2018 20:00,2018,11,2,20:00,4.1
02/11/2018 21:00,2018,11,2,21:00,4.1
02/11/2018 22:00,2018,11,2,22:00,4
02/11/2018 23:00,2018,11,2,23:00,3.8
03/11/2018 0:00,2018,11,3,0:00,3.7
03/11/2018 1:00,2018,11,3,1:00,3.8
03/11/2018 2:00,2018,11,3,2:00,3.7
03/11/2018 3:00,2018,11,3,3:00,3.6
03/11/2018 4:00,2018,11,3,4:00,3.4
03/11/2018 5:00,2018,11,3,5:00,3.1
03/11/2018 6:00,2018,11,3,6:00,3
03/11/2018 7:00,2018,11,3,7:00,2.4
03/11/2018 8:00,2018,11,3,8:00,2.1
03/11/2018 9:00,2018,11,3,9:00,3.6
03/11/2018 10:00,2018,11,3,10:00,4.6
03/11/2018 11:00,2018,11,3,11:00,5.5
03/11/2018 12:00,2018,11,3,12:00,6.1
03/11/2018 13:00,2018,11,3,13:00,5.8
03/11/2018 14:00,2018,11,3,14:00,5.4
03/11/2018 15:00,2018,11,3,15:00,5.7
03/11/2018 16:00,2018,11,3,16:00,5.5
03/11/2018 17:00,2018,11,3,17:00,4.8
03/11/2018 18:00,2018,11,3,18:00,4.1
03/11/2018 19:00,2018,11,3,19:00,4.1
03/11/2018 20:00,2018,11,3,20:00,4
03/11/2018 21:00,2018,11,3,21:00,3.8
03/11/2018 22:00,2018,11,3,22:00,3.4
03/11/2018 23:00,2018,11,3,23:00,2.3
04/11/2018 0:00,2018,11,4,0:00,1.3
04/11/2018 1:00,2018,11,4,1:00,1.2
04/11/2018 2:00,2018,11,4,2:00,0.8
04/11/2018 3:00,2018,11,4,3:00,0.2
04/11/2018 4:00,2018,11,4,4:00,0
04/11/2018 5:00,2018,11,4,5:00,-0.6
04/11/2018 6:00,2018,11,4,6:00,-2.1
04/11/2018 7:00,2018,11,4,7:00,-2.5
04/11/2018 8:00,2018,11,4,8:00,-0.2
04/11/2018 9:00,2018,11,4,9:00,3
04/11/2018 10:00,2018,11,4,10:00,5.1
04/11/2018 11:00,2018,11,4,11:00,5.9
04/11/2018 12:00,2018,11,4,12:00,6.3
04/11/2018 13:00,2018,11,4,13:00,6.1
04/11/2018 14:00,2018,11,4,14:00,5.5
04/11/2018 15:00,2018,11,4,15:00,4.9
04/11/2018 16:00,2018,11,4,16:00,4.9
04/11/2018 17:00,2018,11,4,17:00,4.8
04/11/2018 18:00,2018,11,4,18:00,5
04/11/2018 19:00,2018,11,4,19:00,5.3
04/11/2018 20:00,2018,11,4,20:00,5.4
04/11/2018 21:00,2018,11,4,21:00,4.4
04/11/2018 22:00,2018,11,4,22:00,4.1
04/11/2018 23:00,2018,11,4,23:00,4.4
05/11/2018 0:00,2018,11,5,0:00,4.9
05/11/2018 1:00,2018,11,5,1:00,5.3
05/11/2018 2:00,2018,11,5,2:00,6.8
05/11/2018 3:00,2018,11,5,3:00,6.5
05/11/2018 4:00,2018,11,5,4:00,6.6
05/11/2018 5:00,2018,11,5,5:00,6.3
05/11/2018 6:00,2018,11,5,6:00,6.2
05/11/2018 7:00,2018,11,5,7:00,6.5
05/11/2018 8:00,2018,11,5,8:00,7.3
05/11/2018 9:00,2018,11,5,9:00,7.2
05/11/2018 10:00,2018,11,5,10:00,7.5
05/11/2018 11:00,2018,11,5,11:00,7.8
05/11/2018 12:00,2018,11,5,12:00,8.9
05/11/2018 13:00,2018,11,5,13:00,9.7
05/11/2018 14:00,2018,11,5,14:00,10.2
05/11/2018 15:00,2018,11,5,15:00,10.1
05/11/2018 16:00,2018,11,5,16:00,10.2
05/11/2018 17:00,2018,11,5,17:00,9.6
05/11/2018 18:00,2018,11,5,18:00,9.4
05/11/2018 19:00,2018,11,5,19:00,8.8
05/11/2018 20:00,2018,11,5,20:00,9.1
05/11/2018 21:00,2018,11,5,21:00,9.2
05/11/2018 22:00,2018,11,5,22:00,9.1
05/11/2018 23:00,2018,11,5,23:00,8.5
06/11/2018 0:00,2018,11,6,0:00,8.5
06/11/2018 1:00,2018,11,6,1:00,7.7
06/11/2018 2:00,2018,11,6,2:00,8.2
06/11/2018 3:00,2018,11,6,3:00,8.6
06/11/2018 4:00,2018,11,6,4:00,8.6
06/11/2018 5:00,2018,11,6,5:00,8.3
06/11/2018 6:00,2018,11,6,6:00,8.4
06/11/2018 7:00,2018,11,6,7:00,8.5
06/11/2018 8:00,2018,11,6,8:00,8.9
06/11/2018 9:00,2018,11,6,9:00,9.3
06/11/2018 10:00,2018,11,6,10:00,9.1
06/11/2018 11:00,2018,11,6,11:00,9.4
06/11/2018 12:00,2018,11,6,12:00,13.1
06/11/2018 13:00,2018,11,6,13:00,16.1
06/11/2018 14:00,2018,11,6,14:00,14.2
06/11/2018 15:00,2018,11,6,15:00,13.3
06/11/2018 16:00,2018,11,6,16:00,12.4
06/11/2018 17:00,2018,11,6,17:00,11.5
06/11/2018 18:00,2018,11,6,18:00,10.9
06/11/2018 19:00,2018,11,6,19:00,10.3
06/11/2018 20:00,2018,11,6,20:00,10.1
06/11/2018 21:00,2018,11,6,21:00,9.6
06/11/2018 22:00,2018,11,6,22:00,8.5
06/11/2018 23:00,2018,11,6,23:00,8.3
07/11/2018 0:00,2018,11,7,0:00,8
07/11/2018 1:00,2018,11,7,1:00,7.9
07/11/2018 2:00,2018,11,7,2:00,8.3
07/11/2018 3:00,2018,11,7,3:00,7.7
07/11/2018 4:00,2018,11,7,4:00,7.4
07/11/2018 5:00,2018,11,7,5:00,7.3
07/11/2018 6:00,2018,11,7,6:00,6.9
07/11/2018 7:00,2018,11,7,7:00,7.1
07/11/2018 8:00,2018,11,7,8:00,7.2
07/11/2018 9:00,2018,11,7,9:00,7.6
07/11/2018 10:00,2018,11,7,10:00,7.5
07/11/2018 11:00,2018,11,7,11:00,8
07/11/2018 12:00,2018,11,7,12:00,6.8
07/11/2018 13:00,2018,11,7,13:00,6.6
07/11/2018 14:00,2018,11,7,14:00,4.3
07/11/2018 15:00,2018,11,7,15:00,5.3
07/11/2018 16:00,2018,11,7,16:00,5.8
07/11/2018 17:00,2018,11,7,17:00,4.2
07/11/2018 18:00,2018,11,7,18:00,4.7
07/11/2018 19:00,2018,11,7,19:00,4.6
07/11/2018 20:00,2018,11,7,20:00,4.4
07/11/2018 21:00,2018,11,7,21:00,3.9
07/11/2018 22:00,2018,11,7,22:00,4
07/11/2018 23:00,2018,11,7,23:00,4.1
08/11/2018 0:00,2018,11,8,0:00,4.1
08/11/2018 1:00,2018,11,8,1:00,4.1
08/11/2018 2:00,2018,11,8,2:00,4
08/11/2018 3:00,2018,11,8,3:00,4
08/11/2018 4:00,2018,11,8,4:00,4
08/11/2018 5:00,2018,11,8,5:00,3.9
08/11/2018 6:00,2018,11,8,6:00,3.8
08/11/2018 7:00,2018,11,8,7:00,3.9
08/11/2018 8:00,2018,11,8,8:00,4.1
08/11/2018 9:00,2018,11,8,9:00,4.5
08/11/2018 10:00,2018,11,8,10:00,4.9
08/11/2018 11:00,2018,11,8,11:00,4.2
08/11/2018 12:00,2018,11,8,12:00,5.1
08/11/2018 13:00,2018,11,8,13:00,5.1
08/11/2018 14:00,2018,11,8,14:00,5.8
08/11/2018 15:00,2018,11,8,15:00,5.5
08/11/2018 16:00,2018,11,8,16:00,5.3
08/11/2018 17:00,2018,11,8,17:00,4.6
08/11/2018 18:00,2018,11,8,18:00,4.5
08/11/2018 19:00,2018,11,8,19:00,4.2
08/11/2018 20:00,2018,11,8,20:00,3.6
08/11/2018 21:00,2018,11,8,21:00,2.9
08/11/2018 22:00,2018,11,8,22:00,1.8
08/11/2018 23:00,2018,11,8,23:00,0.2
09/11/2018 0:00,2018,11,9,0:00,0.3
09/11/2018 1:00,2018,11,9,1:00,-0.5
09/11/2018 2:00,2018,11,9,2:00,0.1
09/11/2018 3:00,2018,11,9,3:00,-0.5
09/11/2018 4:00,2018,11,9,4:00,-0.5
09/11/2018 5:00,2018,11,9,5:00,0.2
09/11/2018 6:00,2018,11,9,6:00,1.5
09/11/2018 7:00,2018,11,9,7:00,2.2
09/11/2018 8:00,2018,11,9,8:00,2.2
09/11/2018 9:00,2018,11,9,9:00,1.6
09/11/2018 10:00,2018,11,9,10:00,0.8
09/11/2018 11:00,2018,11,9,11:00,1.4
09/11/2018 12:00,2018,11,9,12:00,0.9
09/11/2018 13:00,2018,11,9,13:00,0.4
09/11/2018 14:00,2018,11,9,14:00,0.9
09/11/2018 15:00,2018,11,9,15:00,1.9
09/11/2018 16:00,2018,11,9,16:00,2
09/11/2018 17:00,2018,11,9,17:00,2.4
09/11/2018 18:00,2018,11,9,18:00,2.6
09/11/2018 19:00,2018,11,9,19:00,2.9
09/11/2018 20:00,2018,11,9,20:00,3.1
09/11/2018 21:00,2018,11,9,21:00,3.4
09/11/2018 22:00,2018,11,9,22:00,3
09/11/2018 23:00,2018,11,9,23:00,2.9
10/11/2018 0:00,2018,11,10,0:00,2.2
10/11/2018 1:00,2018,11,10,1:00,1.6
10/11/2018 2:00,2018,11,10,2:00,1
10/11/2018 3:00,2018,11,10,3:00,-0.3
10/11/2018 4:00,2018,11,10,4:00,-1.1
10/11/2018 5:00,2018,11,10,5:00,-1.4
10/11/2018 6:00,2018,11,10,6:00,-2
10/11/2018 7:00,2018,11,10,7:00,-2.3
10/11/2018 8:00,2018,11,10,8:00,-1.9
10/11/2018 9:00,2018,11,10,9:00,-1.3
10/11/2018 10:00,2018,11,10,10:00,-0.7
10/11/2018 11:00,2018,11,10,11:00,-0.4
10/11/2018 12:00,2018,11,10,12:00,-0.3
10/11/2018 13:00,2018,11,10,13:00,0.8
